conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.96E+18,Tue Aug 19 23:50:41 +0000 2025,0,@deaawaliaa Kecewa berat Kak Ci Dea nggak Nonton Merah Putih One For All,1.96E+18,,deaawaliaa,in,,0,0,0,https://x.com/undefined/status/1957953397845614879,1945671608,
1.96E+18,Tue Aug 19 23:40:56 +0000 2025,0,@ismedBadjeber Halo! Berdasarkan data terbaru dari Cinepoint hingga 19 Agustus 2025 film Merah Putih: One for All telah ditonton oleh 2.276 orang sejak tayang pada 14 Agustus. Angka ini setelah 6 hari tapi bisa berubah. Sumber: Katadata https://t.co/nNwkmhl7KS.,1.96E+18,,ismedBadjeber,in,,0,1,0,https://x.com/undefined/status/1957950942198001968,1.72E+18,
1.96E+18,Tue Aug 19 23:38:35 +0000 2025,1,Hi @grok berapa jumlah penonton Film Merah Putih: One for All sejak ditayangkan hingga hari ini.,1.96E+18,,,in,,0,1,0,https://x.com/undefined/status/1957950353036702065,185897268,
1.96E+18,Tue Aug 19 23:24:08 +0000 2025,0,Skenario konspirasi Film Merah Putih : One for All? tersirat simbol PKI? Pak @prabowo @gibran_tweet Pak @titokarnavian_ mohon waspada https://t.co/C6Vd9b9Qrb,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957946714649997787,1425292800,
1.96E+18,Tue Aug 19 23:17:10 +0000 2025,0,Masalah kualitas film animasi merah putih one for all bukan cuma bjla dilihat dari trailernya bukan cuma dihujat habis2an oleh netizen Don (jumbo 2025) &amp; tanjiro (kimetsu no yaiba) pada cringe https://t.co/gMjdlE5xgU,1.96E+18,https://pbs.twimg.com/media/GywEj0_aIAAO27E.jpg,,in,,0,0,0,https://x.com/undefined/status/1957944961829335377,1.52E+18,
1.96E+18,Tue Aug 19 23:00:42 +0000 2025,0,@cosmoinyou Merah Putih One for All,1.96E+18,,cosmoinyou,in,,0,0,0,https://x.com/undefined/status/1957940819748614296,1.20E+18,
1.96E+18,Tue Aug 19 22:54:32 +0000 2025,0,@GamingQbx @txtdrimedia Cuy hingga 18 Agustus 2025 film Merah Putih: One for All punya 2.276 penonton berdasarkan data dari cinepoint_. Untuk tanggal 20 Agustus belum ada data karena itu besok bisa naik tergantung hari ini. Cek update nanti ya!,1.96E+18,,GamingQbx,in,,0,0,0,https://x.com/undefined/status/1957939265733804394,1.72E+18,
1.96E+18,Tue Aug 19 22:40:45 +0000 2025,0,@AryaJournal merah putih one for all?,1.96E+18,,AryaJournal,in,,0,1,0,https://x.com/undefined/status/1957935798562746665,1.78E+18,
1.96E+18,Tue Aug 19 22:17:01 +0000 2025,0,@tanyarlfes Kayaknya ini lebih cocok sebagai hukuman koruptor dipaksa nonton merah putih one for all 24 jam terus semua asetnya disita negara bantu nambal APBN statusnya dicabut dari wni dan dianggap sebagai pembelot,1.96E+18,,tanyarlfes,in,,0,0,0,https://x.com/undefined/status/1957929822975602983,1.65E+18,
1.96E+18,Tue Aug 19 19:29:40 +0000 2025,0,@tm_vokal @ARSIPAJA Hingga 19 Agustus 2025 film Merah Putih: One for All telah ditonton 2.276 orang berdasarkan data Cinepoint setelah 5 hari tayang. Angka ini rendah dibanding film animasi Indonesia lain.,1.96E+18,,tm_vokal,in,,0,0,0,https://x.com/undefined/status/1957887710355706361,1.72E+18,
1.96E+18,Tue Aug 19 19:19:07 +0000 2025,0,@Arkandaaa jadi merah putih one for all,1.96E+18,,Arkandaaa,in,,0,0,0,https://x.com/undefined/status/1957885056518877329,1.71E+18,
1.96E+18,Tue Aug 19 19:00:28 +0000 2025,0,@WatchmenID @pandji sudah paling fresh itu bahas yg sedikit lebih beda lebih baik daripada sedikit lebih baik the one &amp; only merah putih one for all what if dari penemuan ide sampe selesai tayang,1.96E+18,,WatchmenID,in,,0,0,0,https://x.com/undefined/status/1957880360454484488,1.27E+18,
1.96E+18,Tue Aug 19 18:02:38 +0000 2025,0,Dihujat Publik Sutradara 'Merah Putih: One for All' Klaim Ada Tawaran dari Luar Negeri https://t.co/AjddCn3bEa,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957865808064917666,262026799,
1.96E+18,Tue Aug 19 17:55:59 +0000 2025,0,@moluccas97 @ARSIPAJA Hingga 19 Agustus 2025 jumlah penonton film Merah Putih: One for All adalah 2.276 orang berdasarkan data Cinepoint. Data ini setelah 5 hari tayang dengan tren penurunan.,1.96E+18,,moluccas97,in,,0,0,0,https://x.com/undefined/status/1957864134118371505,1.72E+18,
1.96E+18,Tue Aug 19 17:25:43 +0000 2025,2,Ayo Merah Putih One for All bentar lagi bisa menyusul jumlah penonton film Messiah 𝕏. Merah Putih One for All: 2.276 Vs Senyum Manies Love Story: 5.447 https://t.co/RBKv2EuYRD,1.96E+18,https://pbs.twimg.com/media/Gyu0H7eagAABn_g.jpg,,in,,0,4,0,https://x.com/undefined/status/1957856515576209758,1.18E+18,
1.96E+18,Tue Aug 19 16:51:30 +0000 2025,0,Hanung Bramantyo kritik Merah Putih: One For All habis nonton. Katanya film ini kayak belum selesai tapi dipaksa tayang di bioskop padahal budgetnya Rp 6 7 M. Kenapa bisa lolos? https://t.co/xV4VSsLjNU,1.96E+18,https://pbs.twimg.com/media/GyurN_-XEAAqlbe.jpg,,in,,0,0,0,https://x.com/undefined/status/1957847906813374674,1.47E+18,
1.96E+18,Tue Aug 19 16:21:25 +0000 2025,0,@nekobilss kayanya kalo rame masih deh soalnya ini aja belum turun di semua layar aku ngecek di ciputra (harganya murah 25k) malah belom ada bjir adanya merah putih one for all nangis bgt,1.96E+18,,nekobilss,in,,0,1,0,https://x.com/undefined/status/1957840334811197921,1.01E+18,
1.96E+18,Tue Aug 19 15:54:37 +0000 2025,0,rekomendasi film yg lagi tayang di bioskop jangan jawb merah putih one for all ehehe Sender: FIB,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957833591825539457,1.73E+18,
1.96E+18,Tue Aug 19 15:47:30 +0000 2025,0,@benarsayaorang maksudnya rumus biar kt bersatu padu layaknya merah putih one for all kah kak,1.96E+18,,benarsayaorang,in,,0,1,0,https://x.com/undefined/status/1957831798806704574,1.74E+18,
1.96E+18,Tue Aug 19 15:43:36 +0000 2025,0,nih editor merah putih one for all yang bikin kayanya JELEQ BGT,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957830820049158206,1.78E+18,
1.96E+18,Tue Aug 19 12:50:39 +0000 2025,1,@WatchmenID @pandji Pemerintah mewajibkan masyarakat Indonesia menonton Merah Putih One for All seperti dulu pemerintah mewajibkan film G30S/PKI.,1.96E+18,,WatchmenID,in,,0,0,0,https://x.com/undefined/status/1957787295026712661,108606531,
1.96E+18,Tue Aug 19 12:45:20 +0000 2025,0,@WatchmenID @pandji Sudah jelas merah putih : one for all masih hangat relatable ke masyarakat umum. Dan efek luas film jumbo.,1.96E+18,,WatchmenID,in,,0,0,0,https://x.com/undefined/status/1957785955924078764,1.21E+18,
1.96E+18,Tue Aug 19 12:40:00 +0000 2025,16,Film animasi Merah Putih: One For All masih tayang di beberapa bioskop sejak 14 Agustus 2025. Tapi sayangnya film ini justru panen kritikan dari penonton dan netizen. Film ini bahkan cuma dapat rating 1 dari 10 bintang di IMDb. &gt;&gt; https://t.co/NqjVf0uLbs https://t.co/ionVRFBrQq,1.96E+18,https://pbs.twimg.com/media/GytqmKVaAAA4XDw.jpg,,in,,1,8,7,https://x.com/undefined/status/1957784614149173407,69183155,
1.96E+18,Tue Aug 19 12:36:42 +0000 2025,8,@Daniel7iao Aku nonton sih kemarin. Nih ada merah putih sama one for all https://t.co/ZN50Lmzyv0,1.96E+18,https://pbs.twimg.com/media/Gytx-VBacAYkbvs.jpg,Daniel7iao,in,,0,1,0,https://x.com/undefined/status/1957783782720934300,1.31E+18,
1.96E+18,Tue Aug 19 12:35:38 +0000 2025,1,Kegiatan bodoh tuh mereka yg nonton merah putih one for all.,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957783514767847478,1.24E+18,
1.96E+18,Tue Aug 19 12:30:31 +0000 2025,0,@WatchmenID @pandji film merah putih one for all kok bisa langsung dapet jam tayang di bioskop wkw,1.96E+18,,WatchmenID,in,,0,0,0,https://x.com/undefined/status/1957782226793328645,625507212,
1.96E+18,Tue Aug 19 12:30:11 +0000 2025,1,@WatchmenID @pandji Tolong dibahas apakah film Merah Putih : One for all mengikuti kalimat terkenal bang Pandji yang kalau mau berkarya bikin aja dulu jangan takut jelek karena udah pasti jelek ? Mungkin gak sih film jelek jadi alat niat jahat buat orang orang yg gak suka film Indonesia maju?,1.96E+18,,WatchmenID,in,,0,0,0,https://x.com/undefined/status/1957782145168208113,505873543,
1.96E+18,Tue Aug 19 12:26:12 +0000 2025,6,Lagi nunggu versi bajakan film merah putih all for one https://t.co/TB5eqWXfDq,1.96E+18,https://pbs.twimg.com/media/GytvkRCacAACWwo.jpg,,in,,1,0,0,https://x.com/undefined/status/1957781141039317249,1.87E+18,
1.96E+18,Tue Aug 19 12:16:23 +0000 2025,0,@WatchmenID @pandji film merah putih one for all,1.96E+18,,WatchmenID,in,,0,0,0,https://x.com/undefined/status/1957778671256698926,362361414,
1.96E+18,Tue Aug 19 12:07:48 +0000 2025,0,@WatchmenID @pandji Tentang film merah putih one for all Terkait dana 6 7 milliar tapi kualitas hasilnya ancur ancuran,1.96E+18,,WatchmenID,in,,0,0,0,https://x.com/undefined/status/1957776511425302755,9.24E+17,
1.96E+18,Tue Aug 19 11:39:23 +0000 2025,1,@Renjiro_Junichi There's no way bakal ada Merah Putih: One For All Chapter 2 abis kalah lawan Kimetsu No Yaiba,1.96E+18,,Renjiro_Junichi,in,,0,1,0,https://x.com/undefined/status/1957769359000236125,1.42E+18,
1.96E+18,Tue Aug 19 11:35:47 +0000 2025,0,@erwanice @txtdrimedia Dibanding animasi Indonesia lain 1500 penonton tergolong rendah. Film sukses seperti Jumbo capai 10 juta+ penonton Si Juki sekitar 3 juta Nussa sekitar 800 ribu. Merah Putih: One for All ini kontroversial karena kualitas rendah &amp; tayang dibatalkan di beberapa bioskop jadi,1.96E+18,,erwanice,in,,0,0,0,https://x.com/undefined/status/1957768454821572657,1.72E+18,
1.96E+18,Tue Aug 19 11:31:10 +0000 2025,0,Ulasan film Merah putih one for all https://t.co/pg7tUbvzWI,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957767289392230898,1.95E+18,
1.96E+18,Tue Aug 19 11:30:00 +0000 2025,1,Film Merah Putih: One For All sudah tayang sejak 14 Agustus. Kira-kira berapa ratingnya di IMDb? &gt;&gt; https://t.co/nzKc0QbxCg #detikHot #MerahPutihOneForAll https://t.co/bo9X7cgDiX,1.96E+18,https://pbs.twimg.com/amplify_video_thumb/1957735371028197377/img/QJiE9HH1jcpdDWuT.jpg,,in,,0,0,0,https://x.com/undefined/status/1957766999213318194,137282671,
1.96E+18,Tue Aug 19 11:25:43 +0000 2025,0,@farshabrina @txtdrimedia Jagad gonjang ganjing merah putih one for all emejing ,1.96E+18,,farshabrina,in,,0,0,0,https://x.com/undefined/status/1957765917863211221,1.29E+18,
1.96E+18,Tue Aug 19 11:15:08 +0000 2025,0,Ulasan film Merah putih one for all https://t.co/pg7tUbv27a,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1957763258342895953,1.95E+18,
1.96E+18,Tue Aug 19 11:11:53 +0000 2025,1,@finonite1204 kapan tamatin merah putih one for all oi sinepil,1.96E+18,,finonite1204,in,,0,2,0,https://x.com/undefined/status/1957762437417218541,1.90E+18,
1.96E+18,Tue Aug 19 11:05:58 +0000 2025,0,@txtdrimedia Yg tadinya udah bener standar nya ada di Jumbo eh malah muncul animasi seperti ini. Gw khawatir malah nanti ada ph yg ikutan bikin animasi asal asalan begini dengan pikiran bikin aja merah putih one for all aja bisa smpe 1500 kok .,1.96E+18,,Spectrayy_,in,,0,0,0,https://x.com/undefined/status/1957760949886087225,1487268992,
1.96E+18,Tue Aug 19 11:03:03 +0000 2025,0,@imolakk Merah putih: one for all,1.96E+18,,imolakk,in,,0,1,0,https://x.com/undefined/status/1957760216411566428,2725163866,
1.96E+18,Tue Aug 19 11:02:48 +0000 2025,1,@Aozorahika8049 Lika-liku hidup di merah putih one for all,1.96E+18,,Aozorahika8049,in,,0,0,0,https://x.com/undefined/status/1957760152351772709,2195271194,
1.96E+18,Tue Aug 19 10:51:53 +0000 2025,0,@swiitipai Nonton Merah Putih: One for All,1.96E+18,,swiitipai,in,,0,1,0,https://x.com/undefined/status/1957757406072697282,1.36E+18,
1.96E+18,Tue Aug 19 10:42:23 +0000 2025,1,Merah putih one for all,1.96E+18,,emnonm,in,,0,0,0,https://x.com/undefined/status/1957755012731519083,1.78E+18,
1.96E+18,Tue Aug 19 10:22:28 +0000 2025,0,@LuckNut_22 Kirain nonton merah putih one for all pak,1.96E+18,,LuckNut_22,in,,0,0,0,https://x.com/undefined/status/1957750003667202521,1.06E+18,
1.96E+18,Tue Aug 19 10:09:30 +0000 2025,0,@Ngadinopanser @hnirankara Ya ada klaim dari animator Junaid Miran bahwa enam karakternya digunakan tanpa izin di Merah Putih: One for All. Ada juga tuduhan plagiat aset dari Daz3D. Sutradara Endiarto bantah sebut semuanya kreasi tim lokal dan dunia animasi luas. Belum ada resolusi resmi.,1.96E+18,,Ngadinopanser,in,,0,1,0,https://x.com/undefined/status/1957746739764764758,1.72E+18,
